ExamineeID,TaskID,RaterID,Score,Order,Date
31,2,1,4,69,2015/12/21 22:50
6,2,2,2,69,2015/12/11 14:51
31,2,3,4,69,2015/12/11 18:12
31,2,4,4,69,2015/12/19 12:09
31,2,5,2,69,2015/12/11 22:03
31,2,6,4,69,2015/12/14 14:27
31,2,7,3,69,2015/12/17 22:39
31,2,8,3,69,2015/12/15 18:17
31,2,9,2,69,2015/12/21 17:42
31,2,10,3,69,2015/12/18 20:12
31,2,11,5,69,2015/12/18 21:34
31,2,12,3,69,2015/12/21 16:17
31,2,13,2,69,2015/12/20 14:11
31,2,14,4,69,2015/12/19 0:39
31,2,15,4,69,2015/12/21 15:28
31,2,16,3,69,2015/12/18 8:29
31,2,17,4,69,2015/12/14 15:30
31,2,18,4,69,2015/12/11 13:34
31,2,19,2,69,2015/12/15 11:33
31,2,20,4,69,2015/12/16 16:20
14,2,21,5,69,2015/12/15 17:07
31,2,22,4,69,2015/12/18 16:13
31,2,23,2,69,2015/12/21 12:32
31,2,24,4,69,2015/12/15 15:09
31,2,25,2,69,2015/12/16 14:14
31,2,26,3,69,2015/12/20 11:35
31,2,27,4,69,2015/12/22 20:21
31,2,28,5,69,2015/12/12 9:14
30,2,29,5,69,2015/12/21 0:57
31,2,30,4,69,2015/12/11 14:22
31,2,31,3,69,2015/12/15 21:18
31,2,32,5,69,2015/12/21 19:50
31,2,33,4,69,2015/12/20 18:41
31,2,34,5,69,2015/12/19 16:54
2,2,1,4,70,2015/12/21 22:50
31,2,2,5,70,2015/12/15 16:11
2,2,3,3,70,2015/12/11 18:13
2,2,4,3,70,2015/12/19 12:09
2,2,5,3,70,2015/12/11 22:05
2,2,6,3,70,2015/12/14 14:27
2,2,7,3,70,2015/12/17 22:40
2,2,8,3,70,2015/12/15 18:17
2,2,9,2,70,2015/12/21 17:42
2,2,10,3,70,2015/12/18 20:13
2,2,11,4,70,2015/12/18 21:35
2,2,12,4,70,2015/12/21 16:17
2,2,13,3,70,2015/12/20 14:12
2,2,14,3,70,2015/12/19 0:40
2,2,15,4,70,2015/12/21 15:28
2,2,16,3,70,2015/12/18 8:34
2,2,17,3,70,2015/12/14 15:31
21,2,18,4,70,2015/12/11 13:38
2,2,19,3,70,2015/12/15 11:33
2,2,20,4,70,2015/12/16 16:22
31,2,21,4,70,2015/12/15 17:07
2,2,22,4,70,2015/12/18 16:13
2,2,23,3,70,2015/12/21 12:32
2,2,24,4,70,2015/12/15 15:09
2,2,25,5,70,2015/12/16 14:14
2,2,26,3,70,2015/12/20 11:36
2,2,27,5,70,2015/12/22 20:21
2,2,28,5,70,2015/12/12 9:14
31,2,29,3,70,2015/12/21 1:10
2,2,30,3,70,2015/12/11 14:23
2,2,31,4,70,2015/12/15 21:19
2,2,32,3,70,2015/12/21 19:51
2,2,33,4,70,2015/12/20 18:41
23,2,34,2,70,2015/12/19 16:55
17,2,1,4,71,2015/12/21 22:51
2,2,2,4,71,2015/12/15 16:11
17,2,3,3,71,2015/12/11 18:13
17,2,4,2,71,2015/12/19 12:10
17,2,5,4,71,2015/12/11 22:07
17,2,6,4,71,2015/12/14 14:27
17,2,7,3,71,2015/12/17 22:42
17,2,8,3,71,2015/12/15 18:18
17,2,9,2,71,2015/12/21 17:42
17,2,10,5,71,2015/12/18 20:13
17,2,11,3,71,2015/12/18 21:36
17,2,12,4,71,2015/12/21 16:18
17,2,13,3,71,2015/12/20 14:17
