ExamineeID,TaskID,RaterID,Score,Order,Date
31,1,1,3,1,2015/12/21 22:31
2,1,1,4,1,2015/12/21 22:31
17,1,1,4,1,2015/12/21 22:32
11,1,1,5,1,2015/12/21 22:32
27,1,1,3,1,2015/12/21 22:33
5,1,1,3,1,2015/12/21 22:34
4,1,1,4,1,2015/12/21 22:34
25,1,1,4,1,2015/12/21 22:35
32,1,1,5,1,2015/12/21 22:35
1,1,1,2,1,2015/12/21 22:36
24,1,1,2,1,2015/12/21 22:37
33,1,1,3,1,2015/12/21 22:37
12,1,1,4,2,2015/12/21 22:37
13,1,1,4,2,2015/12/21 22:38
20,1,1,3,2,2015/12/21 22:38
26,1,1,4,2,2015/12/21 22:39
30,1,1,4,2,2015/12/21 22:40
29,1,1,3,2,2015/12/21 22:40
6,1,1,3,2,2015/12/21 22:41
16,1,1,2,2,2015/12/21 22:41
14,1,1,3,2,2015/12/21 22:42
3,1,1,4,2,2015/12/21 22:42
18,1,1,4,2,2015/12/21 22:43
23,1,1,3,3,2015/12/21 22:43
9,1,1,2,3,2015/12/21 22:43
28,1,1,3,3,2015/12/21 22:44
8,1,1,3,3,2015/12/21 22:44
10,1,1,4,3,2015/12/21 22:45
34,1,1,4,3,2015/12/21 22:45
7,1,1,4,3,2015/12/21 22:46
22,1,1,4,3,2015/12/21 22:46
19,1,1,3,3,2015/12/21 22:47
15,1,1,2,3,2015/12/21 22:47
21,1,1,5,3,2015/12/21 22:49
31,1,2,5,1,2015/12/11 14:27
2,1,2,3,1,2015/12/11 14:28
17,1,2,5,1,2015/12/11 14:28
11,1,2,5,1,2015/12/11 14:29
27,1,2,4,1,2015/12/11 14:29
5,1,2,2,1,2015/12/11 14:30
4,1,2,4,1,2015/12/11 14:32
25,1,2,2,1,2015/12/11 14:35
32,1,2,3,1,2015/12/11 14:36
29,1,2,4,1,2015/12/11 14:38
1,1,2,5,1,2015/12/11 14:38
24,1,2,1,1,2015/12/11 14:38
33,1,2,4,2,2015/12/11 14:40
